Day,Date,Country,Violation_Nature,Attackers,Victim_Occupation,Gender,Total_Victims,Article,Violation_ID,Country_Latitude,Country_Longitude,RSF_Index,RSF_Score,WB_VA,WB_PS,WB_GovE,WB_RQ,WB_RoL,WB_CoC
Friday,2017-12-12,Palestine,Physical assault/Injuries ,Police or Israeli Intelligence ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/03-01-2018/6870,1,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Friday,2017-12-12,Syria,Physical assault/Injuries ,Syrian Army ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-01-2018/6877,2,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Friday,2017-12-12,Syria,Killing ,Syrian Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-01-2018/6877,2,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Monday,2017-12-12,Syria,Physical assault/Injuries ,Syrian Army ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-01-2018/6876,3,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Sunday,2017-12-12,Jordan,Detention ,Jordanian Security Services ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/16-01-2018/6896,4,31.9454,35.9284,132.0,44.3,26.96,40.28,64.12,59.43,58.02,57.55
Sunday,2017-12-12,Syria,Arrest ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-01-2018/6875,5,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Sunday,2017-12-12,Syria,Arrest ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-01-2018/6875,5,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Monday,2017-12-12,Syria,Physical assault/Injuries ,Syrian Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-01-2018/6876,3,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Sunday,2017-12-12,Syria,Arrest ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-01-2018/6875,5,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Sunday,2017-12-12,Palestine,Physical assault/Injuries ,Israeli Security Services ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/03-01-2018/6871,6,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Sunday,2017-12-12,Syria,Arrest ,Hayat Tahrir Al-Sham (HTS) ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/05-01-2018/6875,5,34.8021,38.9968,179.0,17.41,1.47,0.0,3.3,3.77,1.41,0.47
Thursday,2018-01-01,Lebanon,Summons ,Lebanese Judiciary ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/26-01-2018/6933,7,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Monday,2018-01-01,Lebanon,"Arrest 
Summons ",Lebanese Army ,Activist,Male,1.0,https://www.skeyesmedia.org/en/News/News/26-01-2018/6932,8,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Friday,2018-01-01,Lebanon,Arbitrary Dismissal ,Private Institution ,Journalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/26-01-2018/6931,9,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
Wednesday,2018-01-01,Palestine,Detention ,Police or Israeli Intelligence ,Photojournalist,Male,1.0,https://www.skeyesmedia.org/en/News/News/29-01-2018/6936,10,31.9522,35.2332,157.0,31.92,18.14,7.11,10.38,41.98,25.94,26.42
Saturday,2018-01-01,Lebanon,Summons ,Lebanese Judiciary ,Media/Cultural Institution,Unspecified,1.0,https://www.skeyesmedia.org/en/News/News/29-01-2018/6937,11,33.8547,35.8623,140.0,41.91,30.88,9.48,6.13,14.62,13.21,10.85
